fold,sample,vertebra,slice_idx,comparison_path,has_comparison,heatmap_lines_path,n_valid_lines,angle_max,angle_mean,rho_max,rho_mean,perp_max,perp_mean,line_summary
fold4,sample24,C6,55,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice055_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice055_heatmap_lines.png,4,8.576271057128906,2.8370842337608337,6.174732685089111,2.3680865317583084,15.43786390063585,10.382854859330028,"line_1: angle=0.31, rho=0.33, perp=8.50 | line_2: angle=8.58, rho=6.17, perp=8.96 | line_3: angle=1.41, rho=2.54, perp=15.44 | line_4: angle=1.06, rho=0.43, perp=8.64"
fold4,sample24,C6,56,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice056_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C6_slice056_heatmap_lines.png,4,9.18598461151123,3.4458655416965485,5.7176899909973145,2.439452019520104,16.473813876782977,10.794995825756931,"line_1: angle=2.16, rho=0.04, perp=9.02 | line_2: angle=9.19, rho=5.72, perp=8.39 | line_3: angle=1.46, rho=2.96, perp=16.47 | line_4: angle=0.97, rho=1.03, perp=9.29"
fold4,sample24,C7,63,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice063_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice063_heatmap_lines.png,4,7.658039569854736,3.2271761745214462,2.6169509887695312,1.8063078597187996,23.911467720918303,13.42724124091632,"line_1: angle=0.85, rho=2.44, perp=23.03 | line_2: angle=2.12, rho=0.10, perp=4.69 | line_3: angle=7.66, rho=2.07, perp=23.91 | line_4: angle=2.28, rho=2.62, perp=2.08"
fold4,sample24,C7,64,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice064_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice064_heatmap_lines.png,4,7.9203290939331055,3.0132038593292236,2.947417736053467,2.037353068590164,24.53024428183833,13.428732541924862,"line_1: angle=0.82, rho=2.36, perp=22.05 | line_2: angle=1.86, rho=1.34, perp=4.94 | line_3: angle=7.92, rho=2.95, perp=24.53 | line_4: angle=1.45, rho=1.51, perp=2.20"
fold4,sample24,C7,65,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice065_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice065_heatmap_lines.png,4,11.121708869934082,4.225648358464241,4.933035850524902,1.9206324070692062,26.349986186284845,13.39218515745085,"line_1: angle=1.07, rho=1.44, perp=20.40 | line_2: angle=4.27, rho=0.74, perp=4.15 | line_3: angle=11.12, rho=4.93, perp=26.35 | line_4: angle=0.44, rho=0.57, perp=2.67"
fold4,sample24,C7,66,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice066_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice066_heatmap_lines.png,4,11.92211627960205,4.3870534636080265,5.336609363555908,1.9382472606375813,27.015835077918478,13.694257091912355,"line_1: angle=0.24, rho=2.12, perp=20.87 | line_2: angle=4.67, rho=0.06, perp=3.76 | line_3: angle=11.92, rho=5.34, perp=27.02 | line_4: angle=0.72, rho=0.24, perp=3.14"
fold4,sample24,C7,67,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice067_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample24_C7_slice067_heatmap_lines.png,4,12.279730796813965,5.016173377633095,5.363611698150635,2.2141489014029503,28.676058434800257,14.457734563009979,"line_1: angle=0.21, rho=2.20, perp=22.14 | line_2: angle=5.45, rho=0.39, perp=3.39 | line_3: angle=12.28, rho=5.36, perp=28.68 | line_4: angle=2.12, rho=0.90, perp=3.63"
fold4,sample3,C1,37,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample3_C1_slice037_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample3_C1_slice037_heatmap_lines.png,4,7.653143405914307,5.585788935422897,6.392417907714844,4.571891486644745,37.47970200002424,22.247322118279378,"line_1: angle=7.65, rho=5.65, perp=25.85 | line_2: angle=6.56, rho=2.29, perp=6.21 | line_3: angle=6.23, rho=3.96, perp=19.46 | line_4: angle=1.90, rho=6.39, perp=37.48"
fold4,sample3,C1,38,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample3_C1_slice038_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample3_C1_slice038_heatmap_lines.png,4,9.378674507141113,6.677721381187439,8.49881362915039,5.741083383560181,37.65336580920285,21.77613783620346,"line_1: angle=8.85, rho=8.50, perp=25.83 | line_2: angle=9.38, rho=3.63, perp=5.52 | line_3: angle=4.07, rho=2.88, perp=18.10 | line_4: angle=4.41, rho=7.96, perp=37.65"
fold4,sample3,C1,39,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample3_C1_slice039_comparison.png,True,/mnt/nfs1/home/yamamoto-hiroto/research/VAI/Unet/outputs/しきい値変更/0.6_sig4.0/vis/fold4/test_lines/sample3_C1_slice039_heatmap_lines.png,4,9.954158782958984,8.152531862258911,10.564637184143066,7.615713357925415,35.82924965451879,22.539956037903156,"line_1: angle=8.99, rho=8.97, perp=28.53 | line_2: angle=9.95, rho=6.50, perp=5.28 | line_3: angle=6.74, rho=4.43, perp=20.52 | line_4: angle=6.92, rho=10.56, perp=35.83"
